IsSpam,Text
0,"key issues going forwarda year end reviews report needs generating like mid year documenting business unit performance review completion david john work out plan generation for the nim issues employees david john hpl transition issues ongoing officially transferred regardsdelainey"
0,"congrats contratulations the execution the central maine sos deal this another great example what can when everyone comes together get something done this transaction brings both strategic value the business nice positions for the book and quite nice chunk change well great job guys hey dana are you paying for the celebration dinner "
0," key issues going forwardall under control set work out group under cindy skinner and will producing the stats and making sure don cop out above several have gone across wholesale already stats will show this and progress others fair say have total clarity direction here now all memo will out monday cindy olson has sent email community embargo hpl staff and believe mark drafting something for other otc fran and michele cash also put another guy this yesterday have all hand daviddavid delainey pmto john lavorato corp enron david oxley hou ect ectcc mark frevert enron enron greg whalley hou ect ect louise kitchen hou ect ectsubject key issues going forwarda year end reviews report needs generating like mid year documenting business unit performance review completion david john work out plan generation for the nim issues employees david john hpl transition issues ongoing officially transferred regardsdelainey"
0,"epmi files protest entergy transcoattached our filing made yesterday protesting entergy proposed transco rate issues are premature until entergy has filed join sppno support for its proposed innovative rates for example entergy would get customer funded transmission project development fee and extra basis points for certain projects and exact recovery mechanismrequest that commission require grandfathered contracts addressedexpress concern entergy request continue the problematic source and sink limitations forwarded christi nicolay hou ect andrea settanni pmto subject entergy rto protest rtol wpd entergyr wpd"
0,"california power please contact kristin walsh robert johnston for further clarification executive summary utility bankruptcy appears increasingly likely next week unless the state can clear three hurdles agreement payback for the bailout rate increases and further short term funding for dwr purchases power disagreement persists between gov davis and democrats the legislature how the state should paid back for its bailout the utilities the split over stock warrant plan versus state ownership utility transmission assets the economics the long term contracts appear show that rate hikes are unavoidable because the need amortize the undercollected rates the utilities during the recent rate freeze period air quality management district regulations are under review but offer limited scope for providing additional generation capacity legislature democrats are feeling intense pressure from the left wing consumer groups and are being forced least slow not stop davis bailout and rate hike plans senator burton eminent domain threats against generators which reflect this pressure are little significance bankruptcy outlook rising once againa deal finalize debt workout continues just beyond the reach the state the utilities and their creditors with time running out the debt forbearance arrangement set expire tuesday socal edison and are not paying any their bills except for payroll they are working very hard keep cash hand and have indicated that they feel that they are very close involuntary bankruptcy filing once this filing occurs they will have days until either the bankruptcy court accepts the filing the utilities file voluntary bankruptcy opinion within the assembly divided with respect the outlook for bankruptcy assemblyman keeley told our source that filing likely but that everything will resolved during that day period senator john burton hurry reach deal with the utilities believes that the state california good position strong arm the utilities burton currently does not intend cede the utilities that they can avoid bankruptcy the senator stated bankruptcy would bad but not the worst thing possible intends stick his position senator burton also dismissed governor davis end week deadline for striking deal with the utilities still bankruptcy can avoided last minute deal can struck monday what the state receives return for the bailoutthe scope rate hikes federal court expected rule the socal cpuc rate undercollection case monday additional financing made available the dwr buy more power until the revenue bonds can issued may there possibility that significant progress these issues could lead further extension creditor forbearance however the negative tone taken standard poors and others concerning delays the legislature suggest that further forbearance will difficult achieve the previous forbearance period was only achieved via high level washington summit which does not appear likely happen this weekend additional financing for dwr will not automatically approved the legislature the non energy expenditures the california government are now risk there not yet rate structure place recover the costs being expended power from the general fund state take utility debtwhile the state seems have succeeded forcing the utility parents eat close one third the billion debt final deal has been held two fronts first still unclear what the state will get return for the utility debt possible that there will mix stock warrants and transmission assets takeover the transmission assets seems more likely than takeover the hydro assets the value these assets still has not been settled second while the state will the hook for billion not clear what mixture rate hikes and revenue bonds will used recover the cost the bailout finally expect davis and other california politicians work minimize rate hikes although the edison cpuc case monday likely force their hand here and everything possible avoid the appearance bailout the tangible transmission assets are more politically attractive than the nebulous stock warrants price has been set which the state would purchase the utilities transmission assets which are currently valued approximately billion all the proceeds though cannot used pay off the utilities debts some the money would existing bondholders however ipp sources advise that there already bid the table for these transmission assets that higher than what the state would offer long term contractsas noted the governor his announcement tuesday only the power contracted for can come line immediately much the remainder reportedly was contracted long term purchases from suppliers who are building power plants some this will come line approximately two years assemblyman keeley expressed frustration that has received tablet from high from governor davis that there must not rate increase this means that the state must acquire power not from internal sources from the market but through long term contracts cents kwh this allows cents amortize socal edison undercollection from the recent rate freeze period the number slightly different for this assumption based natural gas price and and efficiency heating rate and these numbers were quoted industry sources who felt they were unrealistic these sources quoted the price natural gas the sources agreed with keeley number for the efficiency heating rate but they felt that was very optimistic unless enormous amount new generation capacity comes line according keeley numbers and assuming the filed rate case settled billion rather than billion would take years amortize all the utility undercollection settlement this case will need reached that the state can figure out how much charge for power order amortize the undercollection however since assemblyman keeley numbers are unrealistic rate increase will necessary air quality district exemptionsthere have been few bills introduced provide exemptions from aqmd air quality management district regulations also republicans have been asking the governor lift the environmental regulations and immediately site the facility san jose that was denied the local government currently there contemplation loosening the aqmd compliance restrictions the legislature will not allow dirtier plants tocome line however there might change the means implementation southern california moving away from theuse credits this apparently drives the cost gas fired power democratic moderates pressured consumer advocatesthe moderate left sen burton the puc consumer activists afraid harvey rosenfield and his consumers movement this not just because his initiative more important from their perspective his initiative puts him and the far left position challenge and defeat the moderates the next election thus democrats the legislature will feel pressured distance themselves from davis and slow down any further rate increases bailout eminent domain would have limited effectthe threats burton seize generation assets insure continued power supply are limited they only apply california suppliers afederal order would needed seize assets from out state suppliers there are also canadian suppliers such hydro who are essentially untouchable smaller ipps feeling the squeezemany the smaller ipps which account for approximately production appear within few days running out cash may amended possibly sometime this week give the smaller producers credit support "
0,"california power the following information from sensitive sources please treat with discretion contact robert johnston kristin walsh for questions additional info bankruptcyearly this week there was closed door meeting held the western power trading forum arizona the meeting took place outside california avoid press coverage and allow ipps maintain low profile association representatives believe that regardless what happens with the puc utilities ruling expected monday some ipps will take the utilities into involuntary bankruptcy our source expects that absent significant last minute breakthrough the filing will happen within the next two weeks and probably next week stated yesterdays report the ipps are very low cash and are not able cover the debts the and socal only three creditors are needed with uncollected debts more than file involuntary bankruptcy bail outdavis has been meeting with the chief executives both utilities last ditch effort make deal prior monday court ruling the most likely scenario for state ownership the utilities transmissions assets however coming agreed upon price will very challenging addition and edison appear have competing agendas pursuing bail out plan davis expect continue meetings through out the weekend hopes reaching agreement before monday "
0,"urg gas securitization agreementsfyi srs forwarded sherri sera corp enron jauregui robert pmto taylorja com mcclankg com sdba dynegy com njwa dynegy com pete pavluk dynegy com chuck watson dynegy com pwarden pillsburywinthrop com repling pillsburywinthrop com mmce dynegy com swbe dynegy com bcli dynegy com singleton greg epenergy com hoferc epenergy com smithc epenergy com wisew epenergy com jonesg epenergy com colliw texaco com benewm texaco com underga texaco com hans cook inlet com prez cook inlet com davidyi cook inlet com dronn mayerbrown com swidner coral energy com blong coral energy com ctise coral energy com jeff skilling enron com william bradford enron com travis mccullough enron com iccenergy aol com stefkatz com msessa sempratrading com dfelsinger sempra com mcosta stroock com jshorter txuenergy com mperkins txuelectric com cenochs txuenergy com bjeffrie westerngas com ryanmcgeachie aec richarddaniel aec jones murphy williams com randall neal williams com kelly knowlton williams com connie turner williams com scampbell txuenergy com ilydiatt altra com dkohler inc com reason inc com sallen duke energy com rsbaker duke energy com richard ruzika com steve brown southernenergy com kenny foo ngx com tgary pcenergy com bredd pcenergy com harry wijsman pcp celias pcenergy com hal borlan reliantenergy com priscilla massey reliantenergy com llittle reliantenergy com gary lamb transcanada com larry desmeules coastenergy com five wood aol com don fishbeck cmenergy com randy harrison southernenergy com john krill engageenergy com glen mackey energy com doug rabey energy com michael huse transcanada com jlopes hrice com jnexon hrice com buchsbaum craig corp whelan steve corp lee fanny berkovitz trista clare david woo shirley law mclafferty daniel cotroneo eileen dmao orrick com litteneker randall law gee dennis welch ray subject urg gas securitization agreementsi pleased report that pst has executed thegas supplier security agreement and the intercreditor agreement with thefollowing suppliers energy company dynegy canada marketing trade division dci dynegy marketing trade paso merchant energy texaco canada texaco natural gas txu energy trading canada limited txu energy trading company williams energy marketing trading canada you know other suppliers are not precluded from future participation wehighly encourage however will now require completion exhibit supplier joinder agreement outlined would greatlyappreciate your replying this email let know whether you intend tobe party these agreements this time please call you have any questions please forward all correspondence trista berkovitzdirector gas procurementpacific gas and electric company beale street room san francisco bus fax notice recipient this mail meant for only the intended recipientof the transmission and may communication privileged law youreceived this mail error any review use dissemination distribution copying this mail strictly prohibited please notify usimmediately the error return mail and please delete this messagefrom your system thank you advance for your cooperation "
0," brazil commercial update version delete previous louise sorry just received your note the extent any discussion was dave thanking over the phone for the inputs and recognizing that and john incorporated some the content never had what had been expecting least presumed appropriate prior any formal decision for the region entertaining person detailed discussion the examples and recommendations including welcome cross examination observations that might conflict with official report view john and dave asked talk with brett kish and gonzalez but you look recommendations and also consider the overall performance the region does this make the best sense done this again and fact had already introduced ideas each them and the previous system prior forwarding them houston prior having leave enron wanted make best effort get the authority execute the recommendations pretty consistently introduced since joining late and tried get enron implement under the previous management have not had the opportunity manage influence the company operations south america this fault for not negotiating more senior position but made the attempt the region and more recently with the new managers demonstrate need open constructive critical discussion anyway tried open the door john dave and you and others who are interested brainstorm inlcuding the leadership place esa understand and perhaps leverage applied experience both trading origination and importantly cultural resume below should attest capabilities least terms the potential value observations thank you for your efforts extended behalf and good luck your new position and working within enron unique dynamic ethic arcylouise kitchen ect pmto arcy carroll enron enroncc subject brazil commercial update version delete previous have spoken john lavorato this and says that dave and john have already spoken you this still need meet have different opinion them this time louised arcy carroll enron amto louise kitchen ectcc subject brazil commercial update version delete previous louise this lot text including the attatched files but the summary gist what have tried communicate internally and asking discuss with you this morning forwarded arcy carroll enron arcy carroll pmto david delainey ect john lavorato corp enron enroncc kay chapman ectsubject brazil commercial update version delete previous david john understand the trip will delayed proposal outline has two texts commercial strategy and historical perspective the org charts will need some discussion particularly regard the strengths and weakness employed personnel and urgent need for improved structure over the and within the new structure with brett and joao carlos albuquerque place the wholesale group and trading desk seems have made some important strides forward terms recruiting some good individuals and trading terms finally executing some fundamental market supply demand and transmission analysis get into the game quickly and aggressively though think the commercial group needs hire some senior local trading expertise apoligize but was unable get contact with either these two guys set possible meeting this week however they have the local knowledge trading competencies and management experience which consider needed catalyze the regional effort axel hinsch argentine and cargill employee with several years and broad commodity and financial trading business development and management experience including senior trader for the bear stearns emerging markets equity desks the late early straight egoargentine country manager mark hoffman swiss brazilian and glencore employee with several years energy energy distribution and sugar sector experience applied commodity and financial arbitrage experience the brazilian market lot less straight forward but applied knowledge and expertise senior originator trader please forward any input about your interest scheduling meeting either open here houston during the week nov for some perspective experience enron let explaing that have been working enron networks the region from and therefore much less formally invovled with the trading brazil spot market and wholesale pricing tarrif issues etc than the end fyl when was directly involved developing our effort get the game understanding the spot price formula calculations and exploring arbitrage opportunities the wholesale market attached resume for some perspective background and capability critically review the commercial trading and marketing and managerial issues involving the past and future opportunities "
0,"brazil commercial update version delete previous louise this lot text including the attatched files but the summary gist what have tried communicate internally and asking discuss with you this morning forwarded arcy carroll enron arcy carroll pmto david delainey ect john lavorato corp enron enroncc kay chapman ectsubject brazil commercial update version delete previous david john understand the trip will delayed proposal outline has two texts commercial strategy and historical perspective the org charts will need some discussion particularly regard the strengths and weakness employed personnel and urgent need for improved structure over the and within the new structure with brett and joao carlos albuquerque place the wholesale group and trading desk seems have made some important strides forward terms recruiting some good individuals and trading terms finally executing some fundamental market supply demand and transmission analysis get into the game quickly and aggressively though think the commercial group needs hire some senior local trading expertise apoligize but was unable get contact with either these two guys set possible meeting this week however they have the local knowledge trading competencies and management experience which consider needed catalyze the regional effort axel hinsch argentine and cargill employee with several years and broad commodity and financial trading business development and management experience including senior trader for the bear stearns emerging markets equity desks the late early straight egoargentine country manager mark hoffman swiss brazilian and glencore employee with several years energy energy distribution and sugar sector experience applied commodity and financial arbitrage experience the brazilian market lot less straight forward but applied knowledge and expertise senior originator trader please forward any input about your interest scheduling meeting either open here houston during the week nov for some perspective experience enron let explaing that have been working enron networks the region from and therefore much less formally invovled with the trading brazil spot market and wholesale pricing tarrif issues etc than the end fyl when was directly involved developing our effort get the game understanding the spot price formula calculations and exploring arbitrage opportunities the wholesale market attached resume for some perspective background and capability critically review the commercial trading and marketing and managerial issues involving the past and future opportunities "
0,"traveli will out the office this afternoon friday until wednesday night will available cell phone you have any questions please feel free contract team for questions have been cross training both individuals that can more effective addressing var and trade related questions thanks frankbharat khanna gas ext lacrecia davenport ext "
